algo,bucket,atk_style,fpr,threshold,tpr_clean,tpr_attack,n,file,attack_ratio,attack_seed
kgw,ppl_ge_20,token,0.01,2.1878474382131707,0.9772727272727273,0.9772727272727273,44,outputs/wm_eval/kgw/ppl_ge_20.csv,0.02,0
kgw,ppl_ge_20,token,0.05,1.5276379211183189,1.0,0.9772727272727273,44,outputs/wm_eval/kgw/ppl_ge_20.csv,0.02,0
kgw,ppl_ge_20,token,0.1,1.1532026875219443,1.0,1.0,44,outputs/wm_eval/kgw/ppl_ge_20.csv,0.02,0
kgw,ppl_ge_20,token,0.2,0.8485319339365254,1.0,1.0,44,outputs/wm_eval/kgw/ppl_ge_20.csv,0.02,0
dip,ppl_0_3,char,0.01,1.042224597930907,0.6274509803921569,0.4019607843137255,204,outputs/wm_eval/dip/ppl_0_3.csv,0.02,0
dip,ppl_0_3,char,0.05,0.7367594957351679,0.7941176470588235,0.6176470588235294,204,outputs/wm_eval/dip/ppl_0_3.csv,0.02,0
dip,ppl_0_3,char,0.1,0.5328009903430935,0.8774509803921569,0.7598039215686274,204,outputs/wm_eval/dip/ppl_0_3.csv,0.02,0
dip,ppl_0_3,char,0.2,0.3720207571983342,0.9166666666666666,0.8529411764705882,204,outputs/wm_eval/dip/ppl_0_3.csv,0.02,0
dip,ppl_0_3,token,0.01,1.042224597930907,0.6274509803921569,0.39705882352941174,204,outputs/wm_eval/dip/ppl_0_3.csv,0.02,0
dip,ppl_0_3,token,0.05,0.7367594957351679,0.7941176470588235,0.6176470588235294,204,outputs/wm_eval/dip/ppl_0_3.csv,0.02,0
dip,ppl_0_3,token,0.1,0.5328009903430935,0.8774509803921569,0.7598039215686274,204,outputs/wm_eval/dip/ppl_0_3.csv,0.02,0
dip,ppl_0_3,token,0.2,0.3720207571983342,0.9166666666666666,0.8431372549019608,204,outputs/wm_eval/dip/ppl_0_3.csv,0.02,0
dip,ppl_12_20,char,0.01,1.042224597930907,0.8333333333333334,0.6666666666666666,18,outputs/wm_eval/dip/ppl_12_20.csv,0.02,0
dip,ppl_12_20,char,0.05,0.7367594957351679,0.9444444444444444,0.7777777777777778,18,outputs/wm_eval/dip/ppl_12_20.csv,0.02,0
dip,ppl_12_20,char,0.1,0.5328009903430935,1.0,0.9444444444444444,18,outputs/wm_eval/dip/ppl_12_20.csv,0.02,0
dip,ppl_12_20,char,0.2,0.3720207571983342,1.0,0.9444444444444444,18,outputs/wm_eval/dip/ppl_12_20.csv,0.02,0
dip,ppl_12_20,token,0.01,1.042224597930907,0.8333333333333334,0.6111111111111112,18,outputs/wm_eval/dip/ppl_12_20.csv,0.02,0
dip,ppl_12_20,token,0.05,0.7367594957351679,0.9444444444444444,0.7777777777777778,18,outputs/wm_eval/dip/ppl_12_20.csv,0.02,0
dip,ppl_12_20,token,0.1,0.5328009903430935,1.0,0.9444444444444444,18,outputs/wm_eval/dip/ppl_12_20.csv,0.02,0
dip,ppl_12_20,token,0.2,0.3720207571983342,1.0,0.9444444444444444,18,outputs/wm_eval/dip/ppl_12_20.csv,0.02,0
dip,ppl_3_5,char,0.01,1.042224597930907,0.7314814814814815,0.5092592592592593,216,outputs/wm_eval/dip/ppl_3_5.csv,0.02,0
dip,ppl_3_5,char,0.05,0.7367594957351679,0.9120370370370371,0.7314814814814815,216,outputs/wm_eval/dip/ppl_3_5.csv,0.02,0
dip,ppl_3_5,char,0.1,0.5328009903430935,0.9583333333333334,0.8611111111111112,216,outputs/wm_eval/dip/ppl_3_5.csv,0.02,0
dip,ppl_3_5,char,0.2,0.3720207571983342,0.9907407407407407,0.9166666666666666,216,outputs/wm_eval/dip/ppl_3_5.csv,0.02,0
dip,ppl_3_5,token,0.01,1.042224597930907,0.7314814814814815,0.5555555555555556,216,outputs/wm_eval/dip/ppl_3_5.csv,0.02,0
dip,ppl_3_5,token,0.05,0.7367594957351679,0.9120370370370371,0.7175925925925926,216,outputs/wm_eval/dip/ppl_3_5.csv,0.02,0
dip,ppl_3_5,token,0.1,0.5328009903430935,0.9583333333333334,0.8472222222222222,216,outputs/wm_eval/dip/ppl_3_5.csv,0.02,0
dip,ppl_3_5,token,0.2,0.3720207571983342,0.9907407407407407,0.9166666666666666,216,outputs/wm_eval/dip/ppl_3_5.csv,0.02,0
dip,ppl_5_8,char,0.01,1.042224597930907,0.7547169811320755,0.5,106,outputs/wm_eval/dip/ppl_5_8.csv,0.02,0
dip,ppl_5_8,char,0.05,0.7367594957351679,0.8962264150943396,0.7358490566037735,106,outputs/wm_eval/dip/ppl_5_8.csv,0.02,0
